Round,time,Left X,Left Y,Right X,Right Y,
1,513.81,0.33,-2.30,0.58,-3.14,
,515.73,-1.53,-3.07,-0.80,-3.70,
,517.25,-0.01,-0.60,-0.36,-2.51,
,519.42,-1.56,-5.54,-0.91,-4.64,
,522.53,-1.54,-1.67,-1.00,-3.01,
,522.53,-1.80,-0.22,-1.42,-1.37,
2,547.02,0.98,-4.85,1.82,-5.71,
3,559.64,-0.90,-2.50,-0.65,-3.02,
,561.41,1.31,-5.37,0.38,-4.42,
,563.35,1.74,-1.46,0.88,-2.55,
,565.81,1.85,-6.23,1.09,-5.66,
,567.21,-1.17,-4.20,-0.14,-4.29,
,569.54,-1.30,-6.19,-0.77,-5.24,
,571.45,-1.11,-2.92,-0.31,-3.73,
,573.52,-1.75,-1.77,-1.27,-2.80,
,576.45,1.24,-6.10,0.57,-5.30,
,578.23,-1.68,-1.37,-1.08,-2.19,
,580.71,1.36,-3.12,0.68,-3.76,
,585.42,-1.20,-5.51,-0.42,-4.96,
,585.42,0.76,-4.65,1.72,-5.26,
4,634.50,-0.57,-3.78,0.31,-3.97,
,638.20,-1.41,-2.22,-0.56,-3.13,
,638.20,1.70,-2.86,1.13,-3.63,
,639.64,0.20,-1.55,0.24,-2.85,
,642.70,1.25,-4.85,2.46,-5.29,
,643.66,-0.43,-2.54,0.48,-3.08,
,645.67,-1.50,-5.44,-0.72,-4.59,
,646.98,-1.03,-2.50,-0.67,-3.50,
,649.14,1.72,-2.74,1.00,-3.79,
,651.64,1.73,-5.47,2.67,-6.26,
,654.21,1.46,-5.23,2.41,-5.52,
,656.28,1.93,-2.80,0.97,-3.82,
,658.07,1.69,-1.32,1.04,-2.43,
,661.05,-1.32,-5.45,-0.77,-4.41,
,663.77,0.92,-5.04,1.7,-5.4,
5,700.72,0.1,-1.31,0.14,-2.63,
,702.71,1.1,-2.3,-0.01,-3.02,
,704.58,1.59,-4.7,1.07,-4.22,
,706.02,-1.11,-1.9,-0.36,-2.93,
,708.54,1.04,-4.8,1.81,-5.58,
,709.99,-0.72,-3.19,0.28,-3.7,
,712.33,-1.74,-5.58,-1.13,-4.71,
,713.77,-0.71,-2.75,-0.25,-3.31,
,715.33,1.45,-2.11,0.53,-3.34,
6,744.49,-1.19,-1.74,-0.35,-2.6,
,746.33,-1.72,-1.47,-1.12,-2.9,
7,,,,,,no good camera angle
8,,,,,,no rally
9,,,,,,skipped
10,842.99,-0.14,-3.12,0.56,-3.91,
,844.05,-0.11,-3.07,0.45,-3.72,
,845,-0.48,-3.07,0.36,-3.44,
,846.2,-0.64,-5.34,-0.22,-4.31,
,848.61,0.75,-5.03,1.59,-5.52,
,849.87,-0.28,-3.99,0.99,-4.12,
11,895.04,0.12,-4.2,1.09,-4.33,
,896.35,-1.02,-1.86,-0.25,-2.98,
,898.46,-1.17,-5.96,-0.47,-5.16,
,899.66,-0.98,-4.08,0.23,-4.07,
,901.55,1.16,-1.98,0.52,-3,
,902.92,0.11,-3.75,1.27,-3.82,
,904.04,0.13,-4.2,0.93,-4.12,
,905.78,-1.18,-5.98,-0.62,-5.04,
,907.9,-1.33,-4.92,-0.94,-4.08,
12,,,,,,
