time,leftfootx,leftfooty,rightfootx,rightfooty
559.639,-0.900,-2.504,-0.645,-3.016
561.413,1.311,-5.370,0.384,-4.417
563.345,1.735,-1.459,0.877,-2.547
565.806,1.851,-6.233,1.093,-5.664
567.208,-1.167,-4.200,-0.143,-4.285
569.541,-1.297,-6.192,-0.767,-5.240
571.454,-1.109,-2.924,-0.314,-3.726
573.517,-1.748,-1.767,-1.265,-2.804
576.446,1.236,-6.102,0.566,-5.296
578.231,-1.676,-1.366,-1.075,-2.191
580.712,1.362,-3.117,0.683,-3.760
585.421,-1.199,-5.514,-0.415,-4.958
585.421,0.763,-4.647,1.715,-5.257
